"","county","tdoses","svi_totpop","svi_2020","sdi_county_population","sdi_2020","sdiq","sviq","svi_rate","sdi_rate","cpc"
"56","Midland",30578,83445,0.1707,83355,13,1,1,36.6444963748577,36.6840621438426,0.855421686746988
"57","Missaukee",3915,15075,0.6829,15028,40,3,4,25.9701492537313,26.0513707745542,0.265060240963855
"58","Monroe",38167,150000,0.1585,149727,18,1,1,25.4446666666667,25.4910603965885,0.204819277108434
"59","Montcalm",18480,63516,0.6463,63413,44,3,4,29.0950311732477,29.1422894359201,0.409638554216867
"60","Montmorency",3404,9270,0.5,9265,49,4,3,36.7206040992449,36.7404209390178,0.867469879518072
"61","Muskegon",56012,173679,0.7805,173297,52,4,4,32.2503008423586,32.3213904453049,0.626506024096386
"62","Newaygo",12349,48687,0.7439,48366,52,4,4,25.3640602214143,25.5323987925402,0.192771084337349
"63","Oakland",448797,1255340,0.1341,1253185,8,1,1,35.7510315930346,35.8125097252201,0.807228915662651
"64","Oceana",8586,26545,0.9146,26416,53,4,5,32.3450744019589,32.5030284675954,0.63855421686747
"65","Ogemaw",5248,20895,0.7439,20898,61,5,4,25.1160564728404,25.1124509522442,0.180722891566265
"66","Ontonagon",1897,5802,0.1098,5877,25,2,1,32.6956221992416,32.278373319721,0.662650602409639
"67","Osceola",7358,23323,0.9268,23290,62,5,5,31.5482570852806,31.5929583512237,0.578313253012048
"68","Oscoda",1632,8282,0.7683,8248,62,5,4,19.7053851726636,19.7866149369544,0.0481927710843374
"69","Otsego",7803,24613,0.5854,24490,35,3,3,31.7027587047495,31.8619844834626,0.602409638554217
"70","Ottawa",111462,289162,0.2073,286558,7,1,2,38.5465586764513,38.8968376384536,0.91566265060241
"71","Presque Isle",5036,12687,0.2439,12714,27,2,2,39.694175139907,39.6098788736826,0.963855421686747
"72","Roscommon",9192,23863,0.7317,23851,52,4,4,38.5198843397729,38.5392646010649,0.903614457831325
"73","Saginaw",53981,191166,0.8659,191821,63,5,5,28.2377619451158,28.141340103534,0.36144578313253
"74","Sanilac",9696,41179,0.622,41295,47,3,4,23.5459821753807,23.4798401743552,0.120481927710843
"75","Schoolcraft",3177,8031,0.5732,8048,45,3,3,39.5592080687337,39.4756461232604,0.951807228915663
"76","Shiawassee",21394,68176,0.0854,68340,18,2,1,31.3805444731284,31.3052385133158,0.566265060240964
"77","St. Clair",39346,159285,0.378,159247,28,2,2,24.7016354333428,24.7075298121786,0.168674698795181
"78","St. Joseph",13323,60789,0.8415,60836,53,4,5,21.9167941568376,21.8998619238609,0.0843373493975904
"79","Tuscola",13642,52683,0.3293,52939,34,3,2,25.8945010724522,25.7692816260224,0.253012048192771
"80","Van Buren",27356,75416,0.9634,75358,49,4,5,36.2734698207277,36.3013880410839,0.831325301204819
"81","Washtenaw",172323,368385,0.2927,367000,39,3,2,46.7779632721202,46.9544959128065,0.987951807228916
"82","Wayne",344807,1753059,1,1757299,92,5,5,19.6688759477006,19.6214190072378,0.036144578313253
"83","Wexford",11565,33433,0.5854,33256,45,3,3,34.5915712021057,34.7756795766178,0.72289156626506
